survey_id,variable,category,frequency,share,weighted
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,emp_ppal,1,33250614.0,0.25381814252931617,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,emp_ppal,2,26906601.0,0.2053911993203326,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,empstat,1.0,41443905.0,0.31636152602359285,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,empstat,2.0,1996245.0,0.015238311025878644,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,empstat,3.0,3572775.0,0.0272727328937498,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,empstat,4.0,12932950.0,0.09872351068237477,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,empstat,<MISSING>,71055848.0,0.5424039193744039,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,empstat_2,1.0,814728.0,0.006219215910618214,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,empstat_2,2.0,327135.0,0.0024971808958573773,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,empstat_2,4.0,447628.0,0.0034169626913991046,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,empstat_2,5.0,1529238.0,0.011673418982435827,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,empstat_2,<MISSING>,127882994.0,0.9761932215196895,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,ent,1,1519678.0,0.011600442843030393,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,ent,10,1954301.0,0.014918132030980998,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,ent,11,6376710.0,0.04867653534602747,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,ent,12,3578620.0,0.027317350627518083,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,ent,13,3228160.0,0.024642118638393787,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,ent,14,8761130.0,0.06687797533777476,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,ent,15,17789139.0,0.13579316815550585,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,ent,16,4940153.0,0.03771059560796769,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,ent,17,1984462.0,0.015148365644015232,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,ent,18,1257616.0,0.009599995871810022,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,ent,19,6310265.0,0.04816932827669755,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,ent,2,3790412.0,0.028934062187869085,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,ent,20,4190375.0,0.031987174703038065,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,ent,21,6624540.0,0.05056834252477733,yes
