survey_id,variable,metric,value,weighted
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,psu,num,408099.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,psu,skewness,0.0719597339630127,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,psu,kurtosis,-1.2137072086334229,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,psu,p01,101573.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,psu,p05,205709.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,psu,p10,400928.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,psu,p25,803338.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,psu,p50,1603561.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,psu,p75,2460003.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,psu,p90,2960149.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,psu,p95,3101457.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,psu,p99,3203526.02,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,psu,missing_share_w,0.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,psu,zero_share_w,0.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,psu,mean_w,1658014.2047246736,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,psu,sd_w,796459.0599013104,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,psu,p01_w,160011.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,psu,p05_w,400997.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,psu,p10_w,707145.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,psu,p25_w,1100947.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,psu,p50_w,1526152.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,psu,p75_w,2202200.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,psu,p90_w,2901251.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,psu,p95_w,3060869.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,psu,p99_w,3201217.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,strata,missing_share,0.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,strata,non_missing_n,408099.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,strata,zero_share,0.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,strata,mean,846.1970918821169,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,strata,sd,214.6674865765892,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,strata,max,1224.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,strata,min,501.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,strata,num,408099.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,strata,skewness,0.10296221341718963,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,strata,kurtosis,-1.280987460025465,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,strata,p01,504.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,strata,p05,529.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,strata,p10,567.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,strata,p25,653.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,strata,p50,837.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,strata,p75,1044.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,strata,p90,1141.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,strata,p95,1191.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,strata,p99,1220.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,strata,missing_share_w,0.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,strata,zero_share_w,0.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,strata,mean_w,851.4058731731337,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,strata,sd_w,187.53336393992808,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,strata,p01_w,517.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,strata,p05_w,568.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,strata,p10_w,644.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,strata,p25_w,702.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,strata,p50_w,805.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,strata,p75_w,989.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,strata,p90_w,1128.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,strata,p95_w,1186.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,strata,p99_w,1216.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,urban,missing_share,0.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,urban,non_missing_n,408099.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,urban,zero_share,0.1728453144947672,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,urban,mean,0.8271546855052327,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,urban,sd,0.37811395383406454,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,urban,max,1.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,urban,min,0.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,urban,num,408099.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,urban,skewness,-1.7304639805335678,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,urban,kurtosis,0.9945104617687184,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,urban,p01,0.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,urban,p05,0.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,urban,p10,0.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,urban,p25,1.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,urban,p50,1.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,urban,p75,1.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,urban,p90,1.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,urban,p95,1.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,urban,p99,1.0,no
